SupplierID,ProductID,SupplierUnitCost,LeadTimeDays,MinimumOrderQuantity,PreferredSupplierFlag
S022,P0178,11.35,16,50,False
S028,P0178,13.73,20,10,False
S021,P0178,10.39,23,100,True
S007,P0179,50.16,14,25,True
S032,P0179,62.37,12,50,False
S017,P0180,10.93,8,50,False
S040,P0180,11.59,6,100,True
S040,P0181,44.89,34,50,False
S007,P0181,53.76,40,25,True
S019,P0182,40.3,41,25,False
S021,P0182,40.93,21,25,True
S007,P0183,95.01,8,100,False
S006,P0183,93.62,15,100,False
S039,P0183,81.03,10,25,False
S004,P0183,108.88,15,500,True
S018,P0184,12.45,13,250,True
S032,P0185,150.06,26,100,True
S013,P0185,160.07,32,25,False
S008,P0185,141.73,35,250,False
S027,P0186,62.43,17,100,False
S003,P0186,46.23,15,50,True
S036,P0186,45.45,20,10,False
S019,P0187,38.27,20,50,True
S009,P0187,32.55,14,100,False
S015,P0188,25.54,10,25,True
S010,P0188,24.91,13,100,False
S008,P0189,12.17,5,100,False
S007,P0189,10.15,5,25,True
S028,P0189,13.1,9,50,False
S029,P0189,11.15,10,25,False
S005,P0190,97.0,4,50,False
S029,P0190,119.79,3,10,True
S034,P0191,62.41,25,50,True
S045,P0191,52.4,25,25,False
S002,P0192,59.42,2,25,True
S013,P0193,134.72,7,25,True
S041,P0193,144.69,9,10,False
S040,P0194,224.87,3,100,False
S020,P0194,152.91,4,25,True
S033,P0195,45.01,30,10,True
S038,P0195,63.96,39,10,False
S007,P0195,56.79,38,500,False
S016,P0196,12.27,4,10,False
S020,P0196,14.24,5,100,False
S013,P0196,11.85,5,10,True
S021,P0196,16.72,5,25,False
S035,P0197,240.1,20,10,False
S019,P0197,257.35,28,250,False
S006,P0197,326.58,28,50,True
S026,P0198,64.77,47,50,False
S004,P0198,63.6,40,25,True
S022,P0198,66.39,41,100,False
S029,P0199,72.03,53,25,True
S022,P0199,67.7,37,50,False
S017,P0200,36.3,31,25,False
S013,P0200,37.12,39,50,True
S024,P0201,12.54,22,25,False
S016,P0201,17.72,16,10,True
S018,P0201,12.56,15,25,False
S011,P0202,266.24,45,25,False
S034,P0202,275.71,54,25,True
S026,P0202,277.23,35,500,False
S027,P0203,123.3,32,50,True
S038,P0203,121.43,40,100,False
S008,P0204,50.65,22,100,True
S023,P0204,51.45,22,500,False
S007,P0204,50.28,38,500,False
S011,P0204,52.59,48,250,False
S041,P0205,145.59,37,100,False
S009,P0205,181.46,49,500,True
S043,P0206,13.03,45,10,False
S009,P0206,13.58,44,50,True
S039,P0207,75.05,31,50,True
S019,P0207,88.62,25,50,False
S031,P0208,55.52,30,25,True
S039,P0209,22.74,10,10,True
S039,P0210,223.57,10,10,True
S042,P0210,181.41,13,50,False
S008,P0211,6.83,14,25,True
S022,P0211,6.88,20,50,False
S041,P0212,159.63,12,100,True
S003,P0212,168.24,10,50,False
S040,P0213,161.52,3,50,False
S039,P0213,153.07,3,250,False
S042,P0213,180.3,3,500,True
S010,P0214,41.47,46,50,False
S026,P0214,35.29,59,50,False
S006,P0214,36.49,40,10,False
S037,P0214,42.42,40,100,True
S012,P0215,47.31,19,50,True
S025,P0216,13.41,12,100,False
S018,P0216,11.11,14,50,True
S005,P0217,32.87,8,10,False
S016,P0217,41.59,5,250,False
S011,P0217,35.21,10,25,True
S026,P0218,40.83,7,250,False
S015,P0218,45.79,5,50,True
S014,P0218,42.62,5,25,False
S034,P0219,32.32,26,10,False
S010,P0219,31.32,30,25,True
S021,P0220,231.1,6,50,False
S043,P0220,219.58,12,10,False
S010,P0220,206.68,12,50,True
S016,P0221,89.47,32,50,False
S011,P0221,78.33,36,25,True
S031,P0221,103.76,27,100,False
S042,P0221,107.18,38,100,False
S021,P0222,66.78,6,25,True
S007,P0222,59.36,3,25,False
S039,P0222,53.78,7,100,False
S035,P0222,49.67,6,500,False
S018,P0223,256.83,33,100,True
S008,P0223,187.4,44,25,False
S029,P0223,252.97,30,100,False
S010,P0223,181.46,36,10,False
S035,P0224,37.97,14,100,True
S028,P0224,46.51,22,100,False
S018,P0225,28.72,25,100,True
S008,P0226,193.55,15,100,True
S018,P0226,166.27,15,50,False
S006,P0227,19.63,7,100,True
S008,P0228,90.09,21,25,False
S020,P0228,75.74,13,10,True
S007,P0228,77.42,22,50,False
S030,P0229,88.84,34,10,True
S025,P0229,105.26,42,25,False
S035,P0230,8.27,26,50,True
S015,P0230,7.66,39,25,False
S044,P0231,176.06,14,25,False
S037,P0231,163.43,9,25,True
S025,P0231,188.19,9,50,False
S041,P0232,51.76,58,100,False
S045,P0232,52.9,45,25,False
S023,P0232,58.3,28,100,True
S016,P0232,45.85,40,250,False
S025,P0233,77.41,14,50,True
S024,P0234,128.13,26,25,False
S004,P0234,116.78,22,25,True
S009,P0235,146.8,11,25,True
S033,P0236,172.87,22,25,False
S021,P0236,140.73,20,100,True
S015,P0237,21.5,14,250,True
S004,P0237,28.33,12,25,False
S002,P0238,27.65,26,25,True
S014,P0239,44.64,29,250,False
S045,P0239,53.56,23,10,False
S025,P0239,65.22,30,500,True
S014,P0240,163.74,25,100,False
S031,P0240,167.64,27,25,True
S010,P0240,134.92,17,25,False
S032,P0241,47.06,10,100,True
S033,P0241,38.66,8,250,False
S028,P0241,39.56,7,10,False
S024,P0242,54.34,42,25,True
S040,P0243,19.83,25,50,True
S024,P0244,143.61,33,100,False
S029,P0244,121.3,37,50,True
S040,P0245,128.97,28,50,True
S031,P0245,127.22,34,100,False
S026,P0245,134.16,47,25,False
S014,P0246,231.91,26,250,False
S045,P0246,225.62,19,25,True
S035,P0247,62.7,23,50,True
S021,P0247,74.4,23,500,False
S041,P0247,64.87,25,25,False
S001,P0247,72.5,30,25,False
S003,P0248,273.99,14,25,True
S036,P0249,26.98,10,25,False
S029,P0249,23.28,13,250,True
S043,P0250,172.14,36,50,False
S026,P0250,123.61,38,25,False
S032,P0250,132.63,50,25,True
S003,P0250,133.83,39,50,False
S039,P0251,73.47,31,25,True
S021,P0251,85.64,25,100,False
S029,P0252,24.58,5,50,True
S018,P0252,30.02,4,25,False
S012,P0252,25.54,4,10,False
S014,P0253,337.31,45,250,False
S016,P0253,236.08,28,25,False
S042,P0253,339.87,38,50,True
S010,P0253,275.04,45,500,False
S017,P0254,15.48,5,250,False
S012,P0254,15.39,8,25,True
S013,P0255,61.49,34,250,True
S010,P0255,61.04,35,50,False
S030,P0256,232.98,43,50,False
S013,P0256,202.05,24,25,True
S036,P0256,198.25,37,10,False
S009,P0257,219.22,12,10,False
S014,P0257,281.84,10,100,False
S035,P0257,310.69,11,10,True
S002,P0258,48.6,40,100,True
S045,P0259,133.82,4,25,False
S022,P0259,144.58,6,25,True
S016,P0260,35.48,15,10,True
S035,P0260,40.95,16,50,False
S025,P0260,37.7,14,250,False
S038,P0261,133.12,38,50,True
S034,P0262,603.27,34,25,True
S038,P0262,586.16,36,50,False
S015,P0263,90.11,24,250,True
S003,P0264,49.88,27,100,False
S012,P0264,64.39,36,50,True
S007,P0265,67.27,5,50,True
S026,P0266,161.04,16,100,True
S041,P0267,65.56,36,100,False
S039,P0267,64.8,47,25,True
S040,P0267,53.55,28,10,False
S043,P0267,61.37,30,100,False
S001,P0268,88.39,14,25,True
S020,P0268,87.8,8,100,False
S012,P0268,74.41,9,25,False
S023,P0269,163.85,12,500,True
S013,P0270,19.98,22,10,True
S034,P0271,77.71,12,10,True
S040,P0272,28.46,14,250,False
S023,P0272,22.79,8,10,True
S036,P0272,26.81,13,250,False
S022,P0273,200.69,15,250,True
S019,P0273,262.49,12,10,False
S010,P0274,106.01,34,50,True
S004,P0275,514.58,8,10,False
S035,P0275,395.99,11,50,True
S015,P0276,12.94,40,10,False
S006,P0276,12.07,33,25,True
S020,P0277,229.34,22,50,True
S045,P0277,215.12,21,25,False
S005,P0278,196.96,51,500,False
S035,P0278,225.09,54,50,True
S039,P0278,207.27,49,50,False
S014,P0279,175.34,28,100,True
S038,P0280,93.46,24,25,False
S029,P0280,98.42,31,250,True
S010,P0281,200.53,8,100,True
S001,P0282,270.66,27,50,False
S032,P0282,253.2,26,25,False
S042,P0282,228.05,26,50,False
S010,P0282,312.51,23,25,True
S029,P0283,234.95,50,10,False
S040,P0283,197.46,37,25,True
S035,P0283,209.99,44,10,False
S034,P0283,255.26,30,10,False
S015,P0284,87.97,28,25,False
S016,P0284,85.13,45,10,True
S036,P0284,76.76,51,500,False
S033,P0284,99.59,39,50,False
S012,P0285,170.47,6,100,True
S042,P0286,65.18,20,100,True
S012,P0287,19.3,26,50,True
S014,P0287,15.76,24,25,False
S028,P0288,32.33,57,10,False
S042,P0288,34.65,51,25,True
S043,P0288,34.12,44,25,False
S040,P0289,84.64,16,10,False
S018,P0289,122.1,25,50,False
S032,P0289,120.33,22,100,True
S045,P0290,76.29,9,25,True
S004,P0290,64.33,8,250,False
S036,P0291,86.69,10,25,False
S021,P0291,74.33,10,25,True
S023,P0291,97.87,11,100,False
S010,P0292,34.13,28,250,True
S044,P0292,46.16,26,25,False
S011,P0292,42.32,32,10,False
S008,P0292,44.11,21,25,False
S010,P0293,210.84,38,25,True
S011,P0293,264.15,39,50,False
S006,P0293,249.23,40,100,False
S027,P0294,233.46,15,250,False
S010,P0294,243.63,13,50,True
S013,P0295,166.55,25,50,True
S018,P0295,154.25,24,10,False
S027,P0296,56.62,17,10,True
S042,P0296,69.9,23,25,False
S003,P0296,65.01,29,25,False
S027,P0297,178.77,29,250,False
S012,P0297,184.24,24,50,True
S037,P0298,152.1,15,50,False
S018,P0298,127.77,22,10,True
S006,P0299,95.69,15,100,True
S040,P0299,111.17,11,50,False
S041,P0299,99.28,14,10,False
S036,P0300,13.88,37,10,False
S006,P0300,17.13,32,100,True
S045,P0301,19.8,28,50,False
S023,P0301,18.55,27,25,True
S040,P0301,17.06,24,50,False
S019,P0302,23.77,40,100,True
S017,P0303,8.39,34,10,True
S020,P0303,7.16,23,250,False
S002,P0304,328.04,31,10,False
S011,P0304,332.58,43,10,True
S042,P0304,271.35,30,100,False
S032,P0305,232.49,19,25,True
S029,P0305,227.26,12,50,False
S019,P0305,234.45,12,250,False
S040,P0305,240.11,18,10,False
S041,P0306,115.25,5,50,False
S009,P0306,100.2,5,100,True
S017,P0307,185.4,7,100,False
S026,P0307,175.92,8,25,False
S013,P0307,215.92,8,100,True
S005,P0307,205.46,6,10,False
S028,P0308,63.97,12,50,False
S022,P0308,81.74,15,250,True
S023,P0309,124.72,30,25,True
S013,P0309,130.54,32,100,False
S043,P0310,9.96,48,25,True
S018,P0311,76.44,6,50,True
S020,P0311,89.93,9,50,False
S044,P0311,106.37,9,50,False
S007,P0311,90.95,7,10,False
S022,P0312,141.75,21,100,True
S003,P0313,535.26,10,100,True
S035,P0313,561.51,8,10,False
S039,P0313,447.78,8,50,False
S009,P0314,7.8,29,10,True
S021,P0314,9.84,22,25,False
S037,P0314,9.38,29,10,False
S039,P0314,7.83,32,25,False
S008,P0315,9.43,25,50,False
S036,P0315,6.65,35,25,True
S022,P0316,38.35,31,50,True
S017,P0316,31.61,23,50,False
S003,P0316,36.52,21,25,False
S014,P0316,33.15,25,50,False
S038,P0317,52.32,29,50,True
S005,P0318,51.43,35,250,True
S016,P0318,54.22,27,100,False
S023,P0319,91.62,51,50,True
S028,P0319,101.77,36,10,False
S009,P0319,121.17,47,50,False
S040,P0320,237.11,19,100,True
