ShipmentID,OrderID,ShipmentDate,ExpectedDeliveryDate,ActualDeliveryDate,ShipmentStatus,Carrier,ShippingCost,DistanceKm,DeliveryDelayDays
SH000023,O100018,2024-04-18,2024-04-24,2024-05-03,Delivered,SwiftHaul Freight,159.03,3175.4,9.0
SH000024,O100019,2025-03-11,2025-03-15,2025-03-17,Delivered,GlobalFreight Express,1841.46,12659.1,2.0
SH000025,O100020,2025-08-24,2025-08-25,2025-08-25,Delivered,SwiftHaul Freight,239.23,1725.3,0.0
SH000026,O100021,2023-11-15,2023-11-15,2023-11-17,Delivered,Pacific Rim Shipping,40.51,41.5,2.0
SH000027,O100021,2023-11-17,2023-11-17,2023-11-21,Delivered,BlueDart Global,74.66,426.9,4.0
SH000028,O100022,2023-10-12,2023-10-20,2023-10-22,Delivered,GlobalFreight Express,380.31,3104.9,2.0
SH000029,O100022,2023-10-14,2023-10-20,2023-10-20,Delivered,BlueDart Global,317.92,3117.5,0.0
SH000030,O100023,2024-01-14,2024-01-25,2024-01-27,Delivered,SwiftHaul Freight,234.46,2631.3,2.0
SH000031,O100024,2024-05-21,2024-05-28,2024-05-26,Delivered,Meridian Line Carriers,941.68,11583.8,-2.0
SH000032,O100025,2025-04-25,2025-05-08,2025-05-10,Delivered,GlobalFreight Express,42.44,538.8,2.0
SH000033,O100026,2024-06-26,2024-06-26,2024-07-01,Delivered,GlobalFreight Express,1639.32,996.5,5.0
SH000034,O100027,2025-03-20,2025-03-24,2025-03-30,Delivered,SwiftHaul Freight,39.25,400.8,6.0
SH000035,O100027,2025-03-20,2025-03-24,2025-03-28,Delivered,BlueDart Global,40.19,219.6,4.0
SH000036,O100029,2023-10-13,2023-10-14,2023-10-14,Delivered,Overland Transit Co.,1594.05,1820.9,0.0
SH000037,O100030,2025-05-31,2025-06-03,2025-06-07,Delivered,Pacific Rim Shipping,1420.9,107.1,4.0
SH000038,O100031,2024-07-30,2024-08-14,2024-08-21,Delayed,GlobalFreight Express,102.68,2667.0,7.0
SH000039,O100032,2024-06-04,2024-06-09,2024-06-08,Delivered,GlobalFreight Express,385.45,2999.8,-1.0
SH000040,O100033,2024-11-27,2024-12-02,2024-12-05,Delivered,BlueDart Global,43.31,620.9,3.0
SH000041,O100033,2024-11-25,2024-12-01,2024-12-05,Delivered,BlueDart Global,53.13,853.4,4.0
SH000042,O100033,2024-11-27,2024-12-04,2024-11-30,Delivered,TransCon Logistics,34.89,204.0,-4.0
SH000043,O100034,2023-06-19,2023-06-23,2023-06-25,Delivered,BlueDart Global,302.79,2999.3,2.0
SH000044,O100035,2024-01-30,2024-02-01,2024-02-03,Delivered,BlueDart Global,2870.32,7171.0,2.0
SH000045,O100036,2023-12-03,2023-12-10,2023-12-08,Delivered,TransCon Logistics,953.94,6753.4,-2.0
SH000046,O100037,2024-12-20,2024-12-21,2024-12-23,Delivered,SwiftHaul Freight,263.56,1795.6,2.0
SH000047,O100040,2023-03-15,2023-03-19,2023-03-17,Delivered,Meridian Line Carriers,428.72,409.0,-2.0
SH000048,O100041,2025-07-03,2025-07-06,2025-07-04,Delivered,Overland Transit Co.,299.62,2173.2,-2.0
SH000049,O100042,2025-02-04,2025-02-10,2025-02-10,Delivered,Overland Transit Co.,35.18,151.7,0.0
SH000050,O100043,2025-08-28,2025-09-01,2025-09-04,Delivered,BlueDart Global,718.7,302.8,3.0
SH000051,O100044,2025-02-25,2025-03-04,2025-02-26,Delivered,SwiftHaul Freight,558.31,727.8,-6.0
SH000052,O100045,2023-04-01,2023-04-06,2023-04-08,Delivered,BlueDart Global,585.89,2859.9,2.0
SH000053,O100046,2025-03-05,2025-03-13,2025-03-13,Delivered,TransCon Logistics,152.91,2878.9,0.0
SH000054,O100046,2025-03-07,2025-03-12,2025-03-11,Delivered,Pacific Rim Shipping,146.76,2212.7,-1.0
SH000055,O100048,2025-12-23,2025-12-26,2025-12-28,Delivered,BlueDart Global,1566.16,1814.4,2.0
SH000056,O100049,2023-10-02,2023-10-08,2023-10-12,Delivered,GlobalFreight Express,379.08,1290.5,4.0
SH000057,O100050,2023-04-16,2023-04-21,2023-04-23,Delivered,Pacific Rim Shipping,253.38,1147.4,2.0
SH000058,O100051,2025-08-13,2025-08-15,2025-08-23,Delayed,TransCon Logistics,461.88,1333.1,8.0
SH000059,O100052,2024-05-02,2024-05-04,2024-05-10,Delayed,Continental Cargo,212.88,908.3,6.0
SH000060,O100053,2024-07-06,2024-07-09,2024-07-07,Delivered,TransCon Logistics,144.34,841.0,-2.0
SH000061,O100053,2024-07-04,2024-07-06,2024-07-09,Delivered,BlueDart Global,109.61,633.6,3.0
SH000062,O100054,2025-04-25,2025-05-04,2025-05-03,Delivered,Meridian Line Carriers,403.12,730.0,-1.0
SH000063,O100055,2023-09-04,2023-09-18,2023-09-22,Delivered,Continental Cargo,56.07,179.9,4.0
SH000064,O100056,2024-06-01,2024-06-04,2024-06-02,Delivered,Continental Cargo,227.02,1944.5,-2.0
SH000065,O100057,2025-07-27,2025-08-10,2025-08-11,Delivered,GlobalFreight Express,329.43,599.5,1.0
SH000066,O100058,2024-11-21,2024-11-29,2024-12-01,Delivered,Overland Transit Co.,163.4,2710.4,2.0
SH000067,O100058,2024-11-23,2024-11-28,2024-12-01,Delivered,Continental Cargo,184.1,2847.3,3.0
SH000068,O100059,2025-10-15,2025-10-15,2025-10-17,Delivered,Continental Cargo,2033.49,1160.1,2.0
SH000069,O100060,2025-09-01,2025-09-08,2025-09-12,Delivered,Continental Cargo,62.02,870.3,4.0
SH000070,O100061,2023-12-26,2023-12-30,2023-12-31,Delivered,GlobalFreight Express,564.88,2502.3,1.0
SH000071,O100062,2025-06-19,2025-06-26,2025-06-28,Delivered,BlueDart Global,751.53,2570.8,2.0
SH000072,O100063,2024-12-27,2025-01-02,2025-01-07,Delivered,TransCon Logistics,696.73,1588.7,5.0
SH000073,O100064,2023-06-07,2023-06-09,2023-06-11,Delivered,Overland Transit Co.,694.37,5636.0,2.0
SH000074,O100065,2023-11-28,2023-11-30,2023-11-29,Delivered,Meridian Line Carriers,45.78,244.5,-1.0
SH000075,O100066,2025-05-23,2025-05-23,2025-05-27,Delivered,Pacific Rim Shipping,100.98,116.0,4.0
SH000076,O100067,2025-08-20,2025-08-26,2025-08-26,Delivered,Pacific Rim Shipping,594.3,516.0,0.0
SH000077,O100068,2023-07-05,2023-07-11,2023-07-13,Delivered,Continental Cargo,289.26,5478.1,2.0
SH000078,O100068,2023-07-05,2023-07-14,2023-07-15,Delivered,Overland Transit Co.,381.19,8437.9,1.0
SH000079,O100069,2025-03-25,2025-03-31,2025-04-01,Delivered,TransCon Logistics,312.4,2386.0,1.0
SH000080,O100070,2024-01-26,2024-02-08,2024-02-13,Delivered,Continental Cargo,410.32,1968.2,5.0
SH000081,O100071,2023-09-19,2023-09-22,2023-09-20,Delivered,Pacific Rim Shipping,1482.64,1043.1,-2.0
SH000082,O100072,2023-06-01,2023-06-03,2023-06-02,Delivered,Pacific Rim Shipping,1239.78,2547.9,-1.0
SH000083,O100073,2023-05-21,2023-05-23,2023-05-28,Delivered,TransCon Logistics,293.92,1024.8,5.0
SH000084,O100074,2024-07-26,2024-07-29,2024-07-28,Delivered,Meridian Line Carriers,429.65,1922.3,-1.0
SH000085,O100074,2024-07-28,2024-07-31,2024-07-29,Delivered,Overland Transit Co.,463.73,2599.1,-2.0
SH000086,O100075,2023-06-17,2023-06-22,2023-06-19,Delivered,Meridian Line Carriers,228.86,792.7,-3.0
SH000087,O100076,2024-12-04,2024-12-09,2024-12-10,Delivered,BlueDart Global,246.8,2100.7,1.0
SH000088,O100077,2025-07-24,2025-08-01,2025-08-03,Delivered,GlobalFreight Express,122.42,1763.7,2.0
SH000089,O100078,2024-05-10,2024-05-12,2024-05-11,Delivered,Pacific Rim Shipping,1589.14,937.7,-1.0
SH000090,O100079,2024-12-29,2025-01-02,2025-01-06,Delivered,SwiftHaul Freight,481.43,875.6,4.0
SH000091,O100081,2025-07-17,2025-07-24,2025-07-26,Delivered,GlobalFreight Express,489.41,2940.5,2.0
SH000092,O100082,2024-01-15,2024-01-23,2024-01-23,Delivered,Meridian Line Carriers,57.25,1338.8,0.0
SH000093,O100083,2024-10-26,2024-10-29,2024-10-30,Delivered,Overland Transit Co.,40.9,200.7,1.0
SH000094,O100084,2024-07-14,2024-07-18,2024-07-18,Delivered,TransCon Logistics,670.01,2951.3,0.0
SH000095,O100085,2023-06-07,2023-06-11,2023-06-10,Delivered,SwiftHaul Freight,128.99,1449.3,-1.0
SH000096,O100086,2023-09-21,2023-09-24,2023-09-28,Delivered,Continental Cargo,56.23,281.3,4.0
SH000097,O100087,2023-06-02,2023-06-07,2023-06-11,Delayed,GlobalFreight Express,135.42,2401.4,4.0
SH000098,O100089,2025-11-09,2025-11-10,2025-11-10,Delivered,Overland Transit Co.,568.91,1473.4,0.0
SH000099,O100090,2025-10-24,2025-10-28,2025-11-03,Delivered,GlobalFreight Express,651.97,1715.0,6.0
SH000100,O100091,2025-07-31,2025-08-02,2025-08-04,Delivered,TransCon Logistics,1291.33,1704.3,2.0
SH000101,O100092,2025-08-24,2025-09-03,2025-09-02,Delivered,Continental Cargo,1363.93,14085.0,-1.0
SH000102,O100093,2025-11-09,2025-11-11,2025-11-11,Delivered,Continental Cargo,78.83,447.5,0.0
SH000103,O100094,2023-09-20,2023-09-25,2023-09-26,Delivered,Continental Cargo,982.83,2090.4,1.0
SH000104,O100095,2024-11-18,2024-11-23,2024-11-24,Delivered,TransCon Logistics,210.45,2423.2,1.0
SH000105,O100096,2024-03-30,2024-04-01,2024-04-06,Delivered,TransCon Logistics,942.02,174.0,5.0
SH000106,O100097,2023-09-16,2023-09-17,2023-09-17,Delivered,GlobalFreight Express,2869.45,1607.1,0.0
SH000107,O100098,2023-07-02,2023-07-10,2023-07-08,Delivered,BlueDart Global,261.09,1140.4,-2.0
SH000108,O100099,2025-09-24,2025-09-27,2025-09-27,Delivered,Overland Transit Co.,1321.69,2270.3,0.0
SH000109,O100100,2024-12-31,2025-01-01,2025-01-02,Delivered,Meridian Line Carriers,491.69,756.2,1.0
SH000110,O100100,2024-12-29,2024-12-29,2025-01-01,Delivered,TransCon Logistics,587.85,849.6,3.0
SH000111,O100101,2025-03-01,2025-03-12,2025-03-10,Delivered,BlueDart Global,95.03,1780.1,-2.0
SH000112,O100101,2025-03-05,2025-03-13,2025-03-10,Delivered,GlobalFreight Express,149.29,3003.8,-3.0
SH000113,O100102,2025-10-08,2025-10-16,2025-10-16,Delivered,Continental Cargo,171.62,3345.8,0.0
SH000114,O100102,2025-10-06,2025-10-14,2025-10-13,Delivered,TransCon Logistics,480.29,10565.8,-1.0
SH000115,O100103,2023-09-12,2023-09-18,2023-09-18,Delivered,Meridian Line Carriers,886.29,7963.9,0.0
SH000116,O100104,2025-12-09,2025-12-13,2025-12-16,Delivered,BlueDart Global,151.54,1438.5,3.0
SH000117,O100104,2025-12-11,2025-12-19,2025-12-18,Delivered,Pacific Rim Shipping,269.37,3177.8,-1.0
SH000118,O100106,2024-02-21,2024-02-27,2024-02-26,Delivered,Pacific Rim Shipping,295.33,2340.9,-1.0
SH000119,O100107,2025-11-01,2025-11-05,2025-11-06,Delivered,Continental Cargo,381.08,2539.7,1.0
SH000120,O100107,2025-11-01,2025-11-03,2025-11-09,Delayed,BlueDart Global,383.03,2609.6,6.0
SH000121,O100108,2023-11-24,2023-11-26,2023-11-26,Delivered,SwiftHaul Freight,1143.55,372.9,0.0
SH000122,O100109,2025-10-04,2025-10-07,2025-10-12,Delayed,BlueDart Global,710.5,1553.9,5.0
SH000123,O100111,2024-11-22,2024-11-30,2024-11-28,Delivered,Meridian Line Carriers,507.92,2082.6,-2.0
SH000124,O100112,2024-12-11,2024-12-15,2024-12-13,Delivered,Meridian Line Carriers,273.74,1201.1,-2.0
SH000125,O100113,2024-01-02,2024-01-19,2024-01-21,Delivered,GlobalFreight Express,450.94,11663.3,2.0
SH000126,O100114,2024-12-19,2024-12-23,2024-12-26,Delivered,SwiftHaul Freight,1988.36,748.1,3.0
SH000127,O100115,2025-12-01,2025-12-09,2025-12-09,Delivered,Meridian Line Carriers,812.51,839.5,0.0
SH000128,O100116,2024-03-08,2024-03-12,2024-03-11,Delivered,Meridian Line Carriers,258.51,2160.8,-1.0
SH000129,O100117,2023-06-12,2023-06-15,2023-06-19,Delayed,Continental Cargo,193.38,1265.8,4.0
SH000130,O100118,2024-06-01,2024-06-01,2024-06-02,Delivered,Overland Transit Co.,1691.8,423.8,1.0
SH000131,O100119,2023-05-07,2023-05-12,2023-05-16,Delivered,BlueDart Global,128.33,740.4,4.0
SH000132,O100120,2025-01-16,2025-01-24,2025-01-26,Delivered,Pacific Rim Shipping,697.61,2887.0,2.0
SH000133,O100121,2025-04-22,2025-04-28,2025-05-03,Delivered,SwiftHaul Freight,117.8,2630.0,5.0
SH000134,O100122,2023-02-22,2023-02-26,2023-02-26,Delivered,Meridian Line Carriers,327.5,3011.0,0.0
SH000135,O100124,2025-02-12,2025-02-14,2025-02-13,Delivered,TransCon Logistics,273.92,607.0,-1.0
SH000136,O100125,2024-06-19,2024-06-27,2024-06-28,Delivered,BlueDart Global,883.54,14833.9,1.0
SH000137,O100126,2023-02-02,2023-02-09,2023-02-11,Delivered,SwiftHaul Freight,437.68,1949.5,2.0
SH000138,O100127,2023-08-30,2023-09-06,2023-09-04,Delivered,SwiftHaul Freight,25.5,220.5,-2.0
SH000139,O100127,2023-09-01,2023-09-08,2023-09-10,Delivered,GlobalFreight Express,32.76,192.8,2.0
SH000140,O100128,2024-06-12,2024-06-18,2024-06-20,Delivered,SwiftHaul Freight,89.78,799.0,2.0
SH000141,O100129,2025-07-15,2025-07-18,2025-07-22,Delivered,TransCon Logistics,107.77,72.1,4.0
SH000142,O100129,2025-07-13,2025-07-15,,Lost,Overland Transit Co.,124.13,578.3,
SH000143,O100130,2023-03-23,2023-04-02,2023-04-03,Delivered,BlueDart Global,242.22,787.4,1.0
SH000144,O100132,2023-01-04,2023-01-10,2023-01-12,Delivered,GlobalFreight Express,2119.6,12432.0,2.0
SH000145,O100133,2024-09-30,2024-10-06,2024-10-04,Delivered,Meridian Line Carriers,56.68,397.1,-2.0
SH000146,O100134,2023-12-18,2023-12-18,2023-12-24,Delivered,SwiftHaul Freight,182.78,105.5,6.0
SH000147,O100135,2025-06-04,2025-06-08,2025-06-05,Delivered,Pacific Rim Shipping,214.84,2323.2,-3.0
SH000148,O100136,2023-07-21,2023-07-25,2023-07-22,Delivered,Pacific Rim Shipping,116.26,1378.5,-3.0
SH000149,O100138,2025-05-13,2025-05-19,2025-05-18,Delivered,Meridian Line Carriers,111.38,2136.0,-1.0
SH000150,O100139,2025-12-25,2025-12-25,2025-12-26,Delivered,BlueDart Global,215.0,831.4,1.0
SH000151,O100140,2024-10-08,2024-10-12,2024-10-16,Delayed,SwiftHaul Freight,261.89,2905.6,4.0
SH000152,O100141,2023-10-26,2023-11-07,2023-11-09,Delivered,BlueDart Global,287.24,2611.0,2.0
SH000153,O100142,2025-05-17,2025-05-17,2025-05-18,Delivered,GlobalFreight Express,2060.82,1207.6,1.0
SH000154,O100143,2024-10-05,2024-10-12,2024-10-11,Delivered,Overland Transit Co.,770.77,813.8,-1.0
SH000155,O100145,2023-09-21,2023-09-28,2023-09-26,Delivered,Pacific Rim Shipping,134.53,797.8,-2.0
SH000156,O100146,2023-11-09,2023-11-09,2023-11-14,Delivered,GlobalFreight Express,587.52,939.4,5.0
SH000157,O100147,2025-03-05,2025-03-06,2025-03-08,Delivered,Continental Cargo,411.59,152.1,2.0
SH000158,O100148,2025-10-07,2025-10-09,2025-10-09,Delivered,BlueDart Global,935.37,2626.4,0.0
SH000159,O100149,2023-08-16,2023-08-21,2023-08-20,Delivered,Overland Transit Co.,1268.81,1880.1,-1.0
SH000160,O100150,2024-06-12,2024-06-20,2024-06-20,Delivered,Pacific Rim Shipping,108.25,1197.3,0.0
SH000161,O100151,2024-12-29,2025-01-01,2024-12-30,Delivered,Meridian Line Carriers,1019.06,2295.5,-2.0
SH000162,O100152,2025-08-28,2025-09-04,2025-09-05,Delivered,Continental Cargo,839.87,207.5,1.0
SH000163,O100153,2025-09-09,2025-09-20,2025-09-25,Delivered,SwiftHaul Freight,736.06,12934.0,5.0
SH000164,O100154,2024-08-03,2024-08-07,2024-08-14,Delivered,GlobalFreight Express,28.13,190.7,7.0
SH000165,O100154,2024-08-01,2024-08-05,2024-08-07,Delivered,Continental Cargo,29.96,322.7,2.0
SH000166,O100155,2023-08-05,2023-08-12,2023-08-11,Delivered,GlobalFreight Express,199.39,2224.1,-1.0
SH000167,O100156,2023-09-06,2023-09-12,2023-09-14,Delivered,Meridian Line Carriers,614.89,809.5,2.0
SH000168,O100157,2025-01-04,2025-01-07,2025-01-12,Delivered,Continental Cargo,1324.95,2876.8,5.0
SH000169,O100158,2024-08-20,2024-08-23,2024-08-26,Delivered,BlueDart Global,527.68,1089.2,3.0
SH000170,O100159,2023-04-06,2023-04-19,2023-04-19,Delivered,Overland Transit Co.,288.01,2792.0,0.0
SH000171,O100160,2025-11-20,2025-11-22,2025-11-21,Delivered,Overland Transit Co.,335.54,931.9,-1.0
SH000172,O100161,2025-01-04,2025-01-04,2025-01-05,Delivered,Overland Transit Co.,55.62,67.2,1.0
SH000173,O100162,2025-07-12,2025-07-12,2025-07-17,Delayed,SwiftHaul Freight,597.96,452.8,5.0
SH000174,O100163,2024-03-30,2024-04-08,2024-04-09,Delivered,BlueDart Global,92.48,2454.7,1.0
SH000175,O100164,2024-07-12,2024-07-12,2024-07-13,Delivered,BlueDart Global,956.7,729.7,1.0
SH000176,O100165,2024-02-19,2024-02-22,2024-02-22,Delivered,Pacific Rim Shipping,203.38,142.7,0.0
SH000177,O100166,2023-09-03,2023-09-10,2023-09-12,Delivered,Pacific Rim Shipping,115.8,1328.8,2.0
SH000178,O100166,2023-09-07,2023-09-13,2023-09-15,Delivered,TransCon Logistics,117.42,1367.3,2.0
SH000179,O100169,2024-10-08,2024-10-12,2024-10-14,Delivered,Continental Cargo,483.62,3107.4,2.0
SH000180,O100170,2024-02-09,2024-02-14,2024-02-17,Delivered,SwiftHaul Freight,129.1,653.0,3.0
SH000181,O100171,2023-12-31,2024-01-06,2024-01-06,Delivered,Continental Cargo,233.03,2717.1,0.0
SH000182,O100172,2023-06-29,2023-06-29,2023-07-02,Delivered,Pacific Rim Shipping,648.66,2482.4,3.0
SH000183,O100172,2023-06-27,2023-06-28,2023-06-29,Delivered,GlobalFreight Express,694.38,2613.7,1.0
SH000184,O100173,2025-03-19,2025-03-31,2025-04-02,Delivered,Pacific Rim Shipping,143.87,2969.9,2.0
SH000185,O100175,2024-12-26,2024-12-28,2024-12-27,Delivered,Overland Transit Co.,658.99,46.0,-1.0
SH000186,O100177,2023-01-20,2023-01-29,2023-02-02,Delayed,BlueDart Global,71.83,651.8,4.0
SH000187,O100178,2024-12-29,2025-01-11,2025-01-13,Delivered,GlobalFreight Express,89.96,2024.5,2.0
SH000188,O100179,2024-12-13,2024-12-16,2024-12-19,Delivered,SwiftHaul Freight,948.66,1184.7,3.0
SH000189,O100180,2023-05-21,2023-05-26,2023-05-24,Delivered,Meridian Line Carriers,358.97,2864.6,-2.0
SH000190,O100181,2025-04-18,2025-04-21,2025-04-25,Delivered,GlobalFreight Express,110.61,782.6,4.0
SH000191,O100181,2025-04-22,2025-04-24,2025-04-23,Delivered,TransCon Logistics,249.26,2903.6,-1.0
SH000192,O100182,2023-10-19,2023-10-27,2023-10-29,Delivered,Pacific Rim Shipping,111.69,1740.8,2.0
SH000193,O100183,2024-06-16,2024-06-23,2024-06-23,Delivered,TransCon Logistics,142.71,853.4,0.0
SH000194,O100183,2024-06-16,2024-06-20,2024-06-26,Delivered,SwiftHaul Freight,91.71,83.8,6.0
SH000195,O100184,2023-11-19,2023-11-24,2023-11-27,Delivered,BlueDart Global,25.51,300.4,3.0
SH000196,O100185,2023-06-15,2023-06-21,2023-06-23,Delivered,GlobalFreight Express,573.42,3081.9,2.0
SH000197,O100186,2025-06-27,2025-07-02,2025-07-04,Delivered,Continental Cargo,155.54,1784.0,2.0
SH000198,O100187,2025-02-28,2025-03-14,2025-03-21,Delivered,SwiftHaul Freight,27.24,704.8,7.0
SH000199,O100188,2025-06-24,2025-07-01,2025-07-06,Delivered,BlueDart Global,188.48,3023.0,5.0
SH000200,O100189,2024-06-11,2024-06-20,2024-06-24,Delivered,Continental Cargo,416.63,2609.5,4.0
SH000201,O100190,2023-12-09,2023-12-16,2023-12-17,Delivered,Pacific Rim Shipping,238.96,1570.7,1.0
SH000202,O100191,2025-02-16,2025-02-19,2025-02-26,Delayed,SwiftHaul Freight,193.01,300.3,7.0
SH000203,O100192,2024-03-18,2024-03-24,2024-03-25,Delivered,SwiftHaul Freight,66.81,1537.3,1.0
SH000204,O100193,2025-02-26,2025-03-03,2025-03-03,Delivered,BlueDart Global,227.59,2290.4,0.0
SH000205,O100194,2023-07-14,2023-07-26,2023-07-25,Delivered,BlueDart Global,70.11,1372.6,-1.0
SH000206,O100195,2024-02-13,2024-02-24,2024-02-28,Delayed,BlueDart Global,212.15,7804.0,4.0
SH000207,O100196,2025-08-19,2025-08-24,2025-08-22,Delivered,Overland Transit Co.,211.2,910.7,-2.0
SH000208,O100197,2023-11-20,2023-11-23,2023-11-24,Delivered,Continental Cargo,912.56,1047.7,1.0
SH000209,O100198,2023-09-24,2023-09-26,2023-09-28,Delivered,Continental Cargo,1324.28,137.6,2.0
SH000210,O100199,2024-04-05,2024-04-12,2024-04-12,Delivered,Continental Cargo,428.63,9447.8,0.0
SH000211,O100200,2024-04-14,2024-04-18,2024-04-20,Delivered,Pacific Rim Shipping,266.16,882.2,2.0
SH000212,O100201,2023-06-30,2023-07-02,2023-07-01,Delivered,Continental Cargo,1368.75,741.8,-1.0
SH000213,O100202,2024-07-28,2024-08-03,2024-08-02,Delivered,Overland Transit Co.,1568.73,3391.8,-1.0
SH000214,O100203,2023-11-04,2023-11-09,2023-11-11,Delivered,Pacific Rim Shipping,100.97,1701.1,2.0
SH000215,O100203,2023-11-04,2023-11-12,2023-11-12,Delivered,BlueDart Global,156.3,3108.7,0.0
SH000216,O100204,2025-12-23,2025-12-27,2025-12-29,Delivered,Meridian Line Carriers,1227.52,1371.1,2.0
SH000217,O100206,2023-11-11,2023-11-15,2023-11-15,Delivered,GlobalFreight Express,292.43,2873.6,0.0
SH000218,O100207,2023-03-25,2023-03-28,2023-03-26,Delivered,GlobalFreight Express,1935.62,402.9,-2.0
SH000219,O100208,2025-07-19,2025-07-26,2025-07-25,Delivered,Continental Cargo,239.56,2323.7,-1.0
SH000220,O100209,2024-06-22,2024-06-29,2024-07-01,Delivered,SwiftHaul Freight,85.37,752.6,2.0
SH000221,O100209,2024-06-20,2024-06-26,2024-06-29,Delivered,BlueDart Global,84.44,811.8,3.0
SH000222,O100210,2023-10-02,2023-10-05,2023-10-11,Delivered,BlueDart Global,1485.76,757.8,6.0
SH000223,O100211,2023-10-28,2023-11-02,2023-11-13,Delivered,TransCon Logistics,734.91,428.8,11.0
SH000224,O100212,2025-04-14,2025-04-25,2025-04-26,Delivered,Pacific Rim Shipping,1303.54,12362.6,1.0
SH000225,O100213,2024-10-11,2024-10-19,2024-10-17,Delivered,Meridian Line Carriers,159.48,402.2,-2.0
SH000226,O100214,2024-05-03,2024-05-11,2024-05-10,Delivered,SwiftHaul Freight,912.0,1112.7,-1.0
SH000227,O100215,2023-06-13,2023-06-20,2023-06-19,Delivered,Pacific Rim Shipping,360.32,1906.4,-1.0
SH000228,O100216,2023-05-04,2023-05-18,2023-05-21,Delivered,SwiftHaul Freight,84.32,1600.2,3.0
SH000229,O100217,2024-03-12,2024-03-18,2024-03-21,Delivered,Pacific Rim Shipping,335.89,371.4,3.0
SH000230,O100218,2023-05-09,2023-05-15,2023-05-15,Delivered,Continental Cargo,84.88,1491.7,0.0
SH000231,O100219,2023-01-09,2023-01-16,2023-01-19,Delivered,Pacific Rim Shipping,584.86,2838.4,3.0
SH000232,O100220,2025-06-30,2025-07-06,2025-07-10,Delivered,GlobalFreight Express,107.98,1396.6,4.0
SH000233,O100221,2023-08-09,2023-08-19,2023-08-23,Delayed,SwiftHaul Freight,242.11,855.8,4.0
SH000234,O100221,2023-08-11,2023-08-21,2023-08-24,Delivered,BlueDart Global,251.98,237.0,3.0
SH000235,O100222,2025-06-06,2025-06-11,2025-06-10,Delivered,Pacific Rim Shipping,73.05,299.5,-1.0
SH000236,O100223,2024-01-15,2024-01-27,2024-01-28,Delivered,Overland Transit Co.,810.65,2119.1,1.0
SH000237,O100224,2024-07-24,2024-07-29,2024-07-26,Delivered,Meridian Line Carriers,402.28,600.3,-3.0
SH000238,O100225,2025-06-25,2025-06-25,2025-07-02,Delivered,TransCon Logistics,251.81,1031.2,7.0
SH000239,O100226,2024-11-24,2024-12-08,2024-12-10,Delivered,GlobalFreight Express,57.5,645.0,2.0
