OrderID,CustomerID,OrderDate,RequiredDeliveryDate,OrderStatus,SalesChannel,WarehouseID,ShippingMethod,Priority
O100056,C00231,2024-06-01,2024-06-04,Completed,Online,W013,Express,Normal
O100057,C00544,2025-07-25,2025-08-08,Completed,Distributor,W003,Freight,High
O100058,C01176,2024-11-19,2024-11-25,Partially Fulfilled,Retail,W006,Standard,Normal
O100059,C00420,2025-10-13,2025-10-14,Completed,Distributor,W010,Same Day,Critical
O100060,C01050,2025-09-01,2025-09-08,Completed,Direct,W005,Standard,Normal
O100061,C00714,2023-12-26,2023-12-29,Completed,Direct,W014,Express,Normal
O100062,C00357,2025-06-19,2025-06-27,Completed,Direct,W006,Standard,High
O100063,C00559,2024-12-25,2025-01-02,Completed,Direct,W008,Standard,Normal
O100064,C00434,2023-06-05,2023-06-05,Completed,Online,W002,Same Day,High
O100065,C00149,2023-11-28,2023-12-02,Completed,Direct,W008,Express,Normal
O100066,C00817,2025-05-21,2025-05-21,Completed,Direct,W015,Same Day,High
O100067,C00629,2025-08-16,2025-08-24,Completed,Distributor,W008,Standard,Normal
O100068,C00090,2023-07-03,2023-07-08,Completed,Online,W014,Standard,Critical
O100069,C00671,2025-03-25,2025-04-04,Completed,Distributor,W002,Standard,High
O100070,C00829,2024-01-26,2024-02-08,Completed,Direct,W014,Freight,Low
O100071,C00420,2023-09-19,2023-09-22,Completed,Distributor,W014,Express,Normal
O100072,C00205,2023-05-28,2023-06-02,Completed,Direct,W002,Express,Normal
O100073,C00942,2023-05-21,2023-05-25,Completed,Online,W014,Express,Low
O100074,C00237,2024-07-26,2024-07-29,Completed,Online,W009,Express,Normal
O100075,C00565,2023-06-15,2023-06-23,Completed,Distributor,W006,Standard,Low
O100076,C00862,2024-12-02,2024-12-07,Completed,Distributor,W006,Standard,Normal
O100077,C00942,2025-07-24,2025-07-29,Completed,Online,W014,Standard,Critical
O100078,C01383,2024-05-10,2024-05-14,Completed,Direct,W008,Express,Critical
O100079,C00079,2024-12-25,2025-01-04,Completed,Distributor,W011,Standard,Normal
O100080,C00613,2025-08-09,2025-08-14,Cancelled,Distributor,W003,Express,Normal
O100081,C00079,2025-07-17,2025-07-26,Completed,Distributor,W008,Standard,Normal
O100082,C01516,2024-01-15,2024-01-27,Completed,Distributor,W010,Freight,Critical
O100083,C00398,2024-10-22,2024-10-27,Completed,Retail,W002,Express,Normal
O100084,C00079,2024-07-14,2024-07-19,Completed,Distributor,W008,Express,Normal
O100085,C00127,2023-06-03,2023-06-13,Completed,Online,W013,Standard,Low
O100086,C01130,2023-09-17,2023-09-19,Completed,Direct,W003,Express,High
O100087,C00965,2023-05-29,2023-06-03,Completed,Direct,W003,Standard,Low
O100088,C00006,2023-10-24,2023-10-25,Cancelled,Direct,W006,Same Day,High
O100089,C00802,2025-11-09,2025-11-09,Completed,Direct,W002,Same Day,Normal
O100090,C00714,2025-10-22,2025-10-26,Completed,Online,W010,Express,Low
O100091,C00602,2025-07-31,2025-08-02,Completed,Direct,W004,Express,High
O100092,C00136,2025-08-22,2025-08-28,Completed,Online,W006,Standard,Normal
O100093,C00942,2025-11-05,2025-11-10,Completed,Direct,W015,Express,Low
O100094,C00434,2023-09-18,2023-09-23,Completed,Direct,W006,Standard,Normal
O100095,C01181,2024-11-18,2024-11-25,Completed,Online,W004,Standard,High
O100096,C00806,2024-03-28,2024-03-31,Completed,Direct,W001,Express,High
O100097,C00584,2023-09-16,2023-09-17,Completed,Direct,W009,Same Day,Low
O100098,C01146,2023-07-02,2023-07-08,Completed,Direct,W002,Standard,Low
O100099,C00004,2025-09-22,2025-09-27,Completed,Direct,W004,Express,Low
O100100,C00004,2024-12-27,2024-12-27,Completed,Direct,W006,Same Day,Normal
O100101,C00434,2025-03-01,2025-03-10,Partially Fulfilled,Distributor,W006,Freight,Normal
O100102,C00674,2025-10-06,2025-10-12,Partially Fulfilled,Direct,W001,Standard,Critical
O100103,C00584,2023-09-10,2023-09-17,Completed,Direct,W004,Standard,Low
O100104,C00613,2025-12-09,2025-12-17,Completed,Direct,W003,Standard,Low
O100105,C00094,2024-08-13,2024-08-21,Cancelled,Retail,W008,Standard,Normal
O100106,C00802,2024-02-21,2024-02-28,Completed,Distributor,W001,Standard,Normal
O100107,C00434,2025-11-01,2025-11-05,Partially Fulfilled,Direct,W012,Express,Low
O100108,C00480,2023-11-22,2023-11-25,Completed,Direct,W008,Express,High
O100109,C00743,2025-09-30,2025-10-02,Completed,Direct,W015,Express,Normal
O100110,C00897,2023-08-30,2023-09-01,Cancelled,Direct,W013,Express,High
O100111,C00802,2024-11-18,2024-11-23,Completed,Distributor,W013,Standard,High
O100112,C00434,2024-12-11,2024-12-13,Completed,Online,W006,Express,Low
O100113,C00636,2024-01-02,2024-01-17,Completed,Direct,W004,Freight,Low
O100114,C00474,2024-12-19,2024-12-21,Completed,Direct,W013,Express,Low
O100115,C00434,2025-11-29,2025-12-08,Completed,Distributor,W004,Standard,Low
O100116,C00951,2024-03-06,2024-03-16,Completed,Online,W011,Standard,Low
O100117,C00913,2023-06-12,2023-06-16,Completed,Online,W010,Express,Low
O100118,C00937,2024-06-01,2024-06-02,Completed,Distributor,W003,Same Day,Low
O100119,C00090,2023-05-07,2023-05-12,Completed,Online,W008,Standard,Low
O100120,C00862,2025-01-14,2025-01-23,Completed,Direct,W006,Freight,Normal
O100121,C01088,2025-04-18,2025-04-28,Completed,Direct,W006,Standard,Low
O100122,C00038,2023-02-18,2023-02-20,Completed,Retail,W011,Express,Normal
O100123,C00714,2025-08-24,2025-08-28,Cancelled,Online,W014,Express,High
O100124,C00434,2025-02-10,2025-02-13,Completed,Direct,W004,Express,Normal
O100125,C00088,2024-06-17,2024-06-25,Completed,Distributor,W007,Standard,Normal
O100126,C00219,2023-01-31,2023-02-05,Completed,Online,W014,Standard,Normal
O100127,C00434,2023-08-28,2023-09-09,Partially Fulfilled,Distributor,W004,Freight,Low
O100128,C00127,2024-06-12,2024-06-20,Completed,Direct,W005,Standard,Low
O100129,C00806,2025-07-11,2025-07-16,Completed,Distributor,W002,Express,Normal
O100130,C00600,2023-03-21,2023-04-08,Completed,Distributor,W006,Freight,Normal
O100131,C00485,2025-03-09,2025-03-17,Cancelled,Direct,W013,Freight,Normal
O100132,C00434,2023-01-04,2023-01-08,Completed,Direct,W013,Express,Low
O100133,C00537,2024-09-28,2024-10-08,Completed,Online,W009,Standard,Normal
O100134,C00115,2023-12-16,2023-12-16,Completed,Direct,W001,Same Day,Normal
O100135,C01487,2025-06-04,2025-06-09,Completed,Direct,W003,Express,Critical
O100136,C00962,2023-07-19,2023-07-28,Completed,Online,W008,Standard,Critical
O100137,C00831,2025-08-28,2025-09-05,Cancelled,Online,W006,Freight,Normal
O100138,C01181,2025-05-11,2025-05-21,Completed,Retail,W012,Standard,Critical
O100139,C00115,2025-12-25,2025-12-25,Completed,Online,W013,Same Day,Normal
O100140,C00891,2024-10-08,2024-10-12,Completed,Online,W005,Express,Normal
O100141,C00638,2023-10-26,2023-11-13,Completed,Direct,W012,Freight,Normal
O100142,C01041,2025-05-17,2025-05-18,Completed,Online,W002,Same Day,Low
O100143,C00683,2024-10-05,2024-10-15,Completed,Online,W013,Standard,Low
O100144,C00294,2023-02-16,2023-02-23,Cancelled,Online,W002,Standard,Normal
O100145,C00177,2023-09-19,2023-09-26,Completed,Retail,W011,Standard,Normal
O100146,C00585,2023-11-09,2023-11-09,Completed,Distributor,W014,Same Day,Normal
O100147,C01512,2025-03-05,2025-03-06,Completed,Distributor,W002,Same Day,Normal
O100148,C00419,2025-10-07,2025-10-10,Completed,Direct,W005,Express,High
O100149,C00584,2023-08-16,2023-08-22,Completed,Distributor,W009,Standard,Normal
O100150,C01238,2024-06-12,2024-06-18,Completed,Online,W008,Standard,Normal
O100151,C00470,2024-12-29,2024-12-31,Completed,Distributor,W008,Express,Normal
O100152,C00973,2025-08-28,2025-09-02,Completed,Distributor,W005,Standard,High
O100153,C01244,2025-09-09,2025-09-17,Completed,Direct,W004,Standard,High
O100154,C01486,2024-07-30,2024-08-08,Partially Fulfilled,Retail,W013,Standard,Normal
O100155,C00379,2023-08-01,2023-08-06,Completed,Online,W008,Standard,Normal
O100156,C00268,2023-09-04,2023-09-13,Completed,Direct,W005,Standard,Normal
O100157,C00554,2024-12-31,2025-01-04,Completed,Direct,W014,Express,High
O100158,C00079,2024-08-16,2024-08-20,Completed,Distributor,W008,Express,Normal
O100159,C01295,2023-04-04,2023-04-14,Completed,Direct,W009,Freight,Critical
O100160,C00434,2025-11-20,2025-11-22,Completed,Direct,W006,Express,High
O100161,C01369,2025-01-04,2025-01-05,Completed,Distributor,W002,Same Day,Low
O100162,C00434,2025-07-12,2025-07-13,Completed,Direct,W004,Same Day,Critical
O100163,C01397,2024-03-30,2024-04-13,Completed,Direct,W009,Freight,High
O100164,C00434,2024-07-12,2024-07-12,Completed,Direct,W004,Same Day,Low
O100165,C01055,2024-02-17,2024-02-20,Completed,Direct,W002,Express,Critical
O100166,C00392,2023-09-03,2023-09-10,Completed,Direct,W002,Standard,Normal
O100167,C00548,2025-10-05,2025-10-17,Cancelled,Direct,W013,Freight,Low
O100168,C00434,2025-09-07,2025-09-07,Cancelled,Distributor,W004,Same Day,High
O100169,C01467,2024-10-08,2024-10-13,Completed,Direct,W011,Express,Low
O100170,C00138,2024-02-05,2024-02-15,Completed,Direct,W009,Standard,Critical
O100171,C00267,2023-12-29,2024-01-08,Completed,Distributor,W013,Standard,Normal
O100172,C00714,2023-06-27,2023-06-27,Partially Fulfilled,Distributor,W010,Same Day,Critical
O100173,C00924,2025-03-17,2025-03-25,Completed,Online,W008,Freight,Normal
O100174,C01076,2023-03-17,2023-03-23,Cancelled,Retail,W009,Standard,Normal
O100175,C00129,2024-12-24,2024-12-28,Completed,Direct,W005,Express,Normal
O100176,C00434,2025-05-05,2025-05-07,Cancelled,Direct,W004,Express,Low
O100177,C00942,2023-01-18,2023-01-29,Completed,Online,W015,Freight,Normal
O100178,C00090,2024-12-25,2025-01-12,Completed,Online,W008,Freight,High
O100179,C00419,2024-12-11,2024-12-15,Completed,Direct,W013,Express,Normal
O100180,C00088,2023-05-21,2023-05-30,Completed,Online,W009,Standard,Normal
O100181,C00855,2025-04-18,2025-04-20,Partially Fulfilled,Retail,W013,Express,Normal
O100182,C00670,2023-10-17,2023-10-27,Completed,Retail,W008,Standard,Low
O100183,C00797,2024-06-16,2024-06-23,Completed,Direct,W005,Standard,Normal
O100184,C01486,2023-11-19,2023-11-28,Completed,Online,W005,Standard,Normal
O100185,C00827,2023-06-13,2023-06-18,Completed,Direct,W009,Standard,Low
O100186,C01399,2025-06-27,2025-07-05,Completed,Retail,W011,Standard,Normal
O100187,C01299,2025-02-24,2025-03-05,Completed,Retail,W004,Freight,Normal
O100188,C01282,2025-06-22,2025-06-28,Completed,Direct,W009,Standard,Normal
O100189,C00671,2024-06-11,2024-06-21,Completed,Direct,W002,Freight,Normal
O100190,C00644,2023-12-07,2023-12-17,Completed,Online,W005,Standard,High
O100191,C00290,2025-02-14,2025-02-19,Completed,Online,W002,Express,Normal
O100192,C00899,2024-03-16,2024-03-24,Completed,Direct,W002,Standard,Normal
O100193,C01313,2025-02-22,2025-03-02,Completed,Online,W009,Standard,Normal
O100194,C01050,2023-07-12,2023-07-20,Completed,Online,W013,Freight,Normal
O100195,C00463,2024-02-13,2024-02-24,Completed,Online,W002,Freight,Low
O100196,C00757,2025-08-19,2025-08-24,Completed,Distributor,W005,Standard,Normal
O100197,C01313,2023-11-20,2023-11-23,Completed,Distributor,W008,Express,Normal
O100198,C01244,2023-09-24,2023-09-27,Completed,Distributor,W001,Express,Low
O100199,C00434,2024-04-03,2024-04-12,Completed,Online,W002,Standard,Low
O100200,C00917,2024-04-12,2024-04-21,Completed,Distributor,W005,Standard,Low
O100201,C00804,2023-06-26,2023-07-01,Completed,Online,W009,Express,Normal
O100202,C00004,2024-07-28,2024-08-07,Completed,Distributor,W002,Standard,High
O100203,C01364,2023-11-02,2023-11-10,Partially Fulfilled,Online,W005,Standard,Normal
O100204,C00461,2025-12-23,2025-12-28,Completed,Online,W009,Standard,Normal
O100205,C00802,2024-06-02,2024-06-04,Pending,Direct,W006,Express,Critical
O100206,C01088,2023-11-11,2023-11-14,Completed,Online,W004,Express,Normal
O100207,C00603,2023-03-25,2023-03-29,Completed,Online,W015,Express,Normal
O100208,C00940,2025-07-19,2025-07-29,Completed,Direct,W013,Standard,Low
O100209,C00619,2024-06-20,2024-06-27,Partially Fulfilled,Distributor,W002,Standard,Normal
O100210,C00024,2023-10-02,2023-10-07,Completed,Distributor,W014,Express,High
O100211,C01317,2023-10-24,2023-11-02,Completed,Direct,W011,Standard,Critical
O100212,C00219,2025-04-10,2025-04-19,Completed,Distributor,W002,Standard,Normal
O100213,C00622,2024-10-09,2024-10-17,Completed,Direct,W008,Freight,Normal
O100214,C01480,2024-05-01,2024-05-06,Completed,Direct,W009,Standard,Normal
O100215,C00005,2023-06-13,2023-06-18,Completed,Online,W002,Standard,Low
O100216,C00869,2023-05-02,2023-05-19,Completed,Online,W005,Freight,Normal
O100217,C00921,2024-03-10,2024-03-19,Completed,Distributor,W005,Standard,Normal
O100218,C00520,2023-05-09,2023-05-14,Completed,Online,W012,Standard,Normal
O100219,C01295,2023-01-09,2023-01-23,Completed,Distributor,W009,Freight,Normal
O100220,C00714,2025-06-28,2025-07-05,Completed,Direct,W010,Standard,Normal
O100221,C00079,2023-08-09,2023-08-26,Partially Fulfilled,Distributor,W009,Freight,Low
O100222,C01486,2025-06-06,2025-06-15,Completed,Direct,W005,Standard,Low
O100223,C00831,2024-01-15,2024-01-28,Completed,Direct,W006,Freight,Normal
O100224,C00079,2024-07-22,2024-07-28,Completed,Distributor,W009,Standard,Normal
O100225,C00520,2025-06-25,2025-06-26,Completed,Retail,W004,Same Day,High
O100226,C01486,2024-11-20,2024-11-28,Completed,Direct,W002,Freight,High
O100227,C00540,2024-07-01,2024-07-10,Completed,Direct,W011,Freight,Low
O100228,C00973,2023-12-18,2023-12-23,Completed,Online,W005,Standard,Critical
O100229,C00827,2023-03-15,2023-03-20,Cancelled,Online,W011,Standard,Low
O100230,C01475,2025-04-11,2025-04-21,Completed,Online,W011,Freight,High
O100231,C00204,2025-07-06,2025-07-22,Cancelled,Distributor,W005,Freight,High
O100232,C01187,2023-12-06,2023-12-12,Completed,Online,W008,Standard,Critical
O100233,C00619,2023-12-25,2024-01-01,Cancelled,Online,W013,Standard,Normal
O100234,C00942,2025-07-15,2025-07-18,Completed,Online,W014,Express,High
O100235,C00249,2023-01-04,2023-01-14,Completed,Retail,W008,Standard,Normal
O100236,C00674,2023-03-04,2023-03-12,Completed,Direct,W006,Standard,High
O100237,C00548,2025-08-02,2025-08-16,Pending,Online,W001,Freight,Normal
O100238,C00934,2024-04-02,2024-04-13,Completed,Online,W004,Freight,Normal
O100239,C00802,2024-03-30,2024-04-07,Partially Fulfilled,Distributor,W002,Standard,High
O100240,C00090,2024-02-20,2024-02-22,Completed,Online,W009,Express,Low
O100241,C01272,2023-12-15,2023-12-23,Completed,Distributor,W009,Standard,Low
O100242,C00963,2025-02-09,2025-02-09,Completed,Online,W015,Same Day,Low
O100243,C00651,2023-06-22,2023-06-27,Completed,Direct,W009,Standard,Normal
O100244,C00219,2025-09-30,2025-10-18,Completed,Distributor,W010,Freight,Normal
O100245,C00115,2025-12-19,2025-12-19,Completed,Retail,W002,Same Day,Normal
O100246,C00550,2025-07-12,2025-07-20,Completed,Direct,W009,Standard,Normal
O100247,C01479,2023-10-04,2023-10-20,Completed,Online,W009,Freight,Normal
O100248,C00802,2025-05-12,2025-05-14,Completed,Direct,W013,Express,Normal
O100249,C00079,2025-08-11,2025-08-20,Partially Fulfilled,Distributor,W009,Standard,Critical
O100250,C00273,2023-06-12,2023-06-19,Completed,Direct,W002,Standard,Normal
O100251,C00392,2024-12-02,2024-12-09,Completed,Distributor,W002,Standard,Low
O100252,C00830,2023-07-27,2023-08-06,Completed,Direct,W010,Standard,Normal
O100253,C00420,2025-01-08,2025-01-14,Completed,Online,W014,Standard,Critical
O100254,C00463,2023-08-04,2023-08-09,Completed,Online,W003,Express,Normal
O100255,C00714,2023-06-21,2023-07-01,Completed,Direct,W014,Standard,Normal
O100256,C00999,2024-03-14,2024-03-22,Completed,Direct,W003,Standard,High
O100257,C01397,2024-01-03,2024-01-10,Completed,Distributor,W009,Standard,High
O100258,C00209,2024-11-07,2024-11-13,Completed,Direct,W001,Standard,High
O100259,C00205,2024-09-05,2024-09-10,Completed,Distributor,W005,Standard,Normal
O100260,C00927,2025-07-15,2025-07-19,Cancelled,Direct,W005,Express,High
O100261,C00827,2024-01-26,2024-01-31,Completed,Direct,W008,Express,Low
O100262,C00024,2023-04-27,2023-05-03,Completed,Online,W010,Standard,High
O100263,C01499,2025-04-15,2025-04-17,Completed,Online,W008,Express,Low
O100264,C00595,2023-12-22,2023-12-22,Completed,Online,W002,Same Day,Low
O100265,C00707,2024-07-15,2024-07-20,Partially Fulfilled,Direct,W012,Standard,High
O100266,C00466,2023-07-02,2023-07-11,Completed,Distributor,W004,Standard,High
O100267,C00334,2023-07-28,2023-08-01,Cancelled,Distributor,W014,Express,Low
O100268,C00603,2024-05-25,2024-06-03,Cancelled,Online,W015,Standard,Normal
O100269,C00079,2025-09-24,2025-10-01,Completed,Direct,W009,Standard,Low
O100270,C01295,2023-05-09,2023-05-15,Completed,Distributor,W009,Standard,Critical
O100271,C00090,2024-07-11,2024-07-25,Completed,Online,W008,Freight,Normal
O100272,C01181,2023-06-19,2023-06-25,Completed,Online,W004,Standard,Critical
O100273,C00802,2024-01-29,2024-02-02,Completed,Online,W001,Express,High
O100274,C00434,2025-08-14,2025-08-19,Cancelled,Direct,W006,Express,Low
O100275,C01169,2025-08-20,2025-08-23,Cancelled,Direct,W007,Express,Normal
O100276,C00079,2023-11-14,2023-11-18,Completed,Distributor,W008,Express,Normal
O100277,C00434,2025-09-17,2025-09-27,Completed,Direct,W007,Standard,Normal
O100278,C00802,2024-11-05,2024-11-14,Partially Fulfilled,Online,W004,Standard,Low
O100279,C00714,2024-10-25,2024-11-02,Completed,Online,W010,Standard,Normal
O100280,C00088,2025-12-17,2025-12-18,Completed,Direct,W008,Same Day,Low
O100281,C01383,2024-12-09,2024-12-13,Completed,Direct,W009,Express,High
O100282,C00001,2024-05-30,2024-06-04,Completed,Retail,W012,Standard,Critical
O100283,C00827,2024-07-09,2024-07-14,Cancelled,Online,W009,Standard,Low
O100284,C00408,2025-12-22,2025-12-29,Completed,Distributor,W012,Standard,Low
O100285,C01499,2024-06-11,2024-06-21,Completed,Online,W008,Standard,High
O100286,C00358,2023-11-09,2023-11-13,Completed,Distributor,W006,Express,Low
O100287,C01486,2024-08-24,2024-08-29,Completed,Online,W013,Standard,High
O100288,C00714,2023-10-27,2023-11-01,Completed,Distributor,W010,Standard,Normal
O100289,C00120,2024-10-05,2024-10-17,Completed,Online,W015,Freight,Low
O100290,C00218,2025-09-07,2025-09-16,Completed,Direct,W001,Standard,Normal
O100291,C00422,2023-03-24,2023-03-28,Completed,Online,W005,Express,Low
O100292,C00419,2023-09-27,2023-10-06,Completed,Direct,W002,Standard,Normal
O100293,C00065,2025-05-28,2025-06-07,Completed,Direct,W012,Standard,High
O100294,C01067,2023-09-13,2023-09-21,Completed,Direct,W009,Standard,Normal
O100295,C00827,2023-09-19,2023-09-21,Completed,Direct,W008,Express,Normal
O100296,C01479,2024-11-02,2024-11-02,Completed,Distributor,W011,Same Day,Critical
O100297,C01030,2024-08-29,2024-08-30,Completed,Direct,W009,Same Day,Normal
O100298,C00802,2023-02-25,2023-03-02,Completed,Distributor,W005,Express,Normal
O100299,C00434,2023-06-24,2023-06-26,Completed,Distributor,W004,Express,Normal
O100300,C00500,2025-05-05,2025-05-10,Partially Fulfilled,Distributor,W009,Express,Normal
O100301,C00899,2024-06-17,2024-06-22,Completed,Direct,W002,Express,High
O100302,C01222,2023-11-26,2023-11-27,Completed,Online,W002,Same Day,Normal
O100303,C00595,2023-11-24,2023-11-30,Cancelled,Online,W002,Standard,Normal
O100304,C00513,2025-02-17,2025-02-26,Completed,Online,W002,Standard,Low
O100305,C00868,2025-02-13,2025-02-20,Completed,Direct,W006,Standard,Normal
O100306,C00088,2025-03-20,2025-04-05,Completed,Distributor,W009,Freight,Low
O100307,C00180,2025-01-30,2025-02-08,Completed,Distributor,W006,Freight,Low
O100308,C01372,2024-07-02,2024-07-03,Cancelled,Distributor,W004,Same Day,Critical
O100309,C01067,2024-05-27,2024-05-28,Completed,Online,W008,Same Day,Low
O100310,C01397,2023-11-12,2023-11-17,Completed,Direct,W009,Standard,Normal
O100311,C00434,2023-10-04,2023-10-06,Completed,Direct,W004,Express,Normal
O100312,C00529,2025-10-30,2025-11-04,Completed,Online,W010,Express,Normal
O100313,C00550,2023-02-23,2023-02-28,Completed,Online,W009,Standard,High
O100314,C01479,2025-02-26,2025-02-27,Completed,Online,W008,Same Day,Low
O100315,C00942,2023-10-23,2023-11-02,Completed,Online,W010,Standard,High
O100316,C00434,2024-07-17,2024-07-19,Partially Fulfilled,Online,W006,Express,Normal
O100317,C01397,2025-11-21,2025-11-27,Completed,Online,W011,Standard,Low
O100318,C00802,2025-12-06,2025-12-16,Completed,Direct,W004,Standard,Normal
O100319,C00802,2023-11-22,2023-11-29,Completed,Distributor,W002,Standard,Low
O100320,C00714,2023-03-14,2023-03-19,Completed,Distributor,W015,Express,Low
O100321,C00169,2025-12-05,2025-12-09,Completed,Distributor,W005,Express,Critical
O100322,C00285,2025-02-07,2025-02-14,Completed,Online,W009,Standard,Low
O100323,C00761,2025-08-04,2025-08-12,Completed,Retail,W004,Standard,Normal
O100324,C01479,2025-08-30,2025-09-08,Completed,Distributor,W008,Standard,Normal
O100325,C00186,2024-06-06,2024-06-14,Completed,Direct,W004,Standard,Normal
O100326,C00434,2024-12-14,2024-12-20,Completed,Direct,W014,Standard,Normal
O100327,C01181,2023-10-20,2023-10-26,Completed,Online,W007,Standard,Normal
O100328,C00236,2023-11-22,2023-12-03,Completed,Retail,W012,Freight,Normal
O100329,C00527,2024-09-12,2024-09-14,Partially Fulfilled,Distributor,W003,Express,High
O100330,C01397,2025-09-16,2025-09-20,Completed,Distributor,W008,Express,Low
O100331,C00714,2024-04-08,2024-04-11,Completed,Distributor,W014,Express,Low
O100332,C00603,2024-01-09,2024-01-14,Completed,Distributor,W010,Express,Normal
O100333,C00088,2024-07-11,2024-07-13,Completed,Online,W009,Express,Normal
O100334,C00330,2023-06-19,2023-06-29,Completed,Online,W005,Standard,Normal
O100335,C00736,2024-09-20,2024-09-25,Completed,Direct,W007,Express,High
O100336,C01417,2025-03-15,2025-03-20,Completed,Distributor,W008,Standard,Critical
O100337,C00984,2024-07-31,2024-08-10,Completed,Distributor,W009,Standard,High
O100338,C00419,2025-06-29,2025-07-04,Completed,Direct,W002,Express,Critical
O100339,C00079,2023-09-19,2023-09-25,Completed,Direct,W005,Standard,Low
