WarehouseID,ProductID,InitialStock,SafetyStock,ReorderPoint,StorageCostPerUnit
W002,P0014,676,54,195,1.09
W002,P0184,63,8,31,0.134
W002,P0116,2392,399,1089,0.427
W002,P0125,6571,1136,3297,0.599
W002,P0320,1014,98,291,0.94
W002,P0064,94,11,34,0.17
W002,P0190,98,17,53,0.827
W002,P0191,349,41,149,1.07
W002,P0140,7048,734,2265,0.276
W002,P0129,1034,89,346,0.87
W002,P0271,306,49,138,0.442
W002,P0034,1561,175,489,0.862
W002,P0003,2190,329,901,0.587
W002,P0244,138,27,52,0.66
W002,P0175,2725,364,1062,0.888
W002,P0133,665,69,309,0.23
W002,P0057,1970,313,1074,0.552
W002,P0270,822,121,395,0.773
W002,P0127,6521,1102,3347,0.658
W002,P0255,395,48,126,0.582
W002,P0084,182,30,62,0.422
W002,P0146,1574,169,762,0.213
W002,P0282,202,38,92,0.28
W002,P0079,2748,454,1206,0.551
W002,P0062,2542,465,1212,1.278
W002,P0104,1309,194,537,0.267
W002,P0248,139,23,58,0.066
W002,P0296,668,125,353,0.299
W002,P0211,1496,223,633,0.409
W002,P0041,3155,299,1293,0.226
W002,P0293,2330,230,931,0.119
W002,P0289,7810,1362,4051,0.684
W002,P0122,2759,501,1198,0.234
W002,P0107,1512,139,535,0.736
W002,P0099,8098,1142,2538,0.222
W002,P0177,297,34,113,0.49
W002,P0251,420,40,156,0.904
W002,P0209,1392,194,735,0.597
W002,P0020,1559,310,702,0.462
W002,P0029,227,28,102,0.136
W002,P0229,1154,115,297,1.516
W002,P0266,2717,288,1056,0.8
W002,P0035,1898,219,970,0.384
W002,P0095,1379,174,650,0.824
W002,P0230,327,35,131,1.084
W002,P0092,2301,446,869,1.097
W002,P0301,289,25,83,0.897
W002,P0169,2776,517,1363,0.832
W002,P0136,151,24,74,0.637
W002,P0199,237,28,75,0.694
W002,P0167,1762,350,749,0.638
W002,P0215,1936,170,766,1.077
W002,P0170,2693,273,829,0.66
W002,P0069,412,79,233,0.693
W002,P0165,337,62,195,0.692
W002,P0207,1617,292,603,0.654
W002,P0319,132,21,47,0.664
W002,P0089,2793,455,955,0.297
W002,P0025,555,104,271,0.639
W002,P0096,378,34,150,0.587
W002,P0156,5328,819,1724,0.365
W002,P0179,140,14,48,0.525
W002,P0030,1800,259,884,0.638
W002,P0012,4190,792,1944,0.726
W002,P0081,4939,774,1664,0.665
W002,P0119,271,33,88,0.771
W002,P0076,2750,354,869,0.841
W002,P0077,2778,555,1417,0.714
W002,P0224,1812,262,969,0.763
W002,P0137,2136,228,1067,0.531
W002,P0163,2782,393,1441,0.226
W002,P0148,148,12,67,0.082
W002,P0088,776,110,405,1.173
W002,P0193,537,93,253,1.155
W002,P0281,276,37,118,1.226
W002,P0256,5084,796,2041,0.589
W002,P0150,3087,419,1200,1.057
W002,P0144,379,65,127,0.842
W002,P0046,540,52,152,1.051
W002,P0102,8027,1363,4026,0.72
W002,P0019,542,48,161,0.769
W002,P0257,59,6,25,0.83
W002,P0249,2759,380,867,1.187
W002,P0080,2642,490,1172,1.007
W002,P0005,1832,261,677,0.223
W002,P0174,545,95,226,1.189
W002,P0188,1156,183,571,0.129
W002,P0232,2769,521,1170,0.279
W002,P0235,444,73,202,0.231
W002,P0026,206,21,88,1.068
W002,P0197,92,10,33,0.229
W002,P0017,6113,764,2951,1.266
W002,P0050,1430,121,684,0.347
W002,P0292,8377,1420,4141,0.941
W002,P0273,1568,259,768,0.44
W002,P0134,2736,237,803,0.612
W002,P0279,1975,266,960,0.762
W002,P0300,1543,131,580,0.789
W002,P0128,471,49,139,0.437
W002,P0031,1593,222,650,0.969
W002,P0033,7131,596,1674,0.592
W002,P0027,2226,205,891,0.833
W002,P0201,396,70,145,1.014
W002,P0173,2052,386,787,0.774
W002,P0090,1233,162,651,0.246
W002,P0108,546,52,154,0.794
W002,P0070,1379,250,642,1.359
W002,P0135,275,50,149,0.484
W002,P0203,488,79,153,0.82
W002,P0316,315,27,100,0.238
W002,P0164,325,61,120,0.723
W002,P0065,279,24,111,0.606
W002,P0187,6302,722,2132,0.605
W002,P0114,1537,245,708,0.433
W002,P0310,390,53,118,0.57
W002,P0013,1688,243,593,0.107
W002,P0066,1871,209,927,0.787
W002,P0178,109,18,38,0.309
W002,P0011,155,21,59,0.165
W002,P0168,5945,572,1780,0.386
W002,P0153,168,32,67,0.345
W002,P0138,588,113,225,0.827
W002,P0145,2116,189,870,0.552
W002,P0194,2112,353,916,0.818
W002,P0294,92,16,44,0.509
W002,P0261,110,15,37,0.825
W002,P0083,1560,253,854,0.909
W002,P0267,1908,339,854,0.677
W002,P0055,2646,221,863,0.679
W002,P0298,646,69,267,1.066
W002,P0277,1600,196,449,0.944
W002,P0139,2707,223,951,1.195
W002,P0032,8318,1450,2829,0.576
W002,P0040,373,37,94,0.788
W002,P0185,85,11,39,1.356
W002,P0239,1882,215,741,0.518
W002,P0238,344,65,171,0.305
W002,P0082,106,16,35,0.975
W002,P0016,317,60,185,0.946
W002,P0157,1122,100,388,0.737
W002,P0045,147,25,66,0.754
W002,P0117,2453,427,1276,0.309
W002,P0053,5929,1149,2147,0.163
W002,P0180,2012,360,751,0.942
W002,P0307,551,52,172,0.279
W002,P0009,4392,541,2083,0.995
W002,P0118,1941,345,757,0.797
W002,P0269,2189,377,868,0.235
W002,P0126,355,32,126,0.197
W002,P0131,384,54,177,1.037
W002,P0265,1641,131,778,0.943
W002,P0283,429,57,145,0.227
W002,P0024,2316,261,1014,1.346
W002,P0110,1578,162,718,0.352
W002,P0021,531,56,200,0.287
W002,P0228,1803,307,876,0.428
W002,P0302,371,65,141,1.015
W002,P0280,2875,554,1507,0.11
W002,P0264,288,44,158,0.267
W002,P0189,37,6,12,0.558
W002,P0147,124,21,66,0.704
W002,P0141,3047,324,1356,0.339
W002,P0143,551,97,233,0.801
W002,P0037,66,10,31,0.61
W002,P0290,367,30,127,0.217
W002,P0052,3741,396,1317,0.712
W002,P0225,2000,335,955,1.138
W002,P0086,2060,199,527,0.201
W002,P0227,1160,180,552,1.035
W002,P0213,702,68,177,0.35
W002,P0124,328,30,147,0.979
W002,P0059,2792,441,1177,0.401
W002,P0087,1956,202,575,0.332
W002,P0218,5162,489,1520,0.921
W002,P0299,214,28,84,0.154
W002,P0214,288,47,124,0.242
W002,P0074,343,64,129,0.125
W002,P0004,6248,1167,3172,1.145
W002,P0272,1771,353,929,1.306
W002,P0287,392,33,146,1.124
W002,P0018,2525,287,924,1.048
W002,P0226,2720,401,1435,0.485
W003,P0298,1150,131,525,0.415
W003,P0193,1883,294,599,0.354
W003,P0293,1068,130,458,0.741
W003,P0026,301,51,127,1.091
W003,P0106,587,97,199,1.049
W003,P0101,620,72,250,0.347
W003,P0127,3760,373,960,0.752
W003,P0254,586,47,227,0.67
W003,P0281,120,19,44,0.152
W003,P0181,1384,159,402,0.229
W003,P0241,171,16,60,0.787
W003,P0206,851,97,235,0.737
W003,P0080,641,115,364,0.086
W003,P0006,4527,682,1594,0.346
W003,P0054,2119,378,927,0.197
W003,P0031,1338,125,630,0.533
W003,P0027,280,34,129,0.869
W003,P0078,1227,183,450,0.098
W003,P0138,587,116,325,1.064
W003,P0042,1009,154,391,0.832
W003,P0189,154,15,48,0.796
W003,P0166,166,31,83,0.897
W003,P0065,334,56,171,0.268
W003,P0246,551,63,149,0.103
W003,P0303,3415,448,1678,0.498
W003,P0223,1112,202,409,0.721
W003,P0049,1104,135,470,0.782
W003,P0015,1636,213,567,0.078
W003,P0029,257,25,75,0.139
W003,P0157,830,133,407,0.131
W003,P0259,112,21,55,0.618
W003,P0245,78,11,40,0.769
W003,P0142,4226,397,1557,0.507
W003,P0141,4245,778,2203,0.942
W003,P0100,311,38,118,0.588
W003,P0190,84,12,40,0.206
W003,P0017,4807,451,1892,1.323
W003,P0250,1729,190,481,1.004
W003,P0177,1835,275,558,0.698
W003,P0249,1601,247,767,0.584
W003,P0175,968,164,439,0.58
W003,P0075,115,22,40,0.945
W003,P0108,86,7,21,0.803
W003,P0295,60,9,21,0.375
W003,P0152,4989,582,1573,1.235
W003,P0311,1088,161,551,0.333
W003,P0117,1279,150,441,0.946
W003,P0132,2978,466,1583,0.109
W003,P0255,235,23,95,0.113
W003,P0291,260,29,103,0.778
W003,P0158,775,146,385,0.945
W003,P0280,4258,470,1122,0.9
W003,P0114,204,28,97,0.89
W003,P0224,1937,265,906,0.58
W003,P0251,373,45,175,0.398
W003,P0014,1949,178,853,0.525
W003,P0171,1279,119,325,0.829
W003,P0207,531,83,236,0.334
W003,P0039,488,75,233,0.501
W003,P0319,297,47,150,0.708
W003,P0265,1937,160,928,0.17
W003,P0285,781,117,305,0.268
W003,P0067,224,31,120,0.343
W003,P0118,3620,619,1929,1.116
W003,P0287,209,26,77,0.615
W003,P0140,5708,1126,2648,0.706
W003,P0221,2386,193,757,1.269
W003,P0037,52,7,16,0.52
W003,P0294,236,44,120,0.825
W003,P0093,1416,164,577,0.177
W003,P0003,1312,247,731,0.094
W003,P0191,21,4,10,0.078
W003,P0282,44,6,15,0.545
W003,P0276,205,36,85,0.998
W003,P0258,1908,265,987,0.117
W003,P0252,182,36,93,0.059
W003,P0156,2296,295,806,0.612
W003,P0107,1541,148,655,1.154
W003,P0110,1661,148,808,0.895
W003,P0136,344,47,133,1.079
W003,P0072,3452,372,1245,1.129
W003,P0215,1491,144,691,0.363
W003,P0194,1143,135,379,0.789
W003,P0256,2030,353,1060,0.394
W003,P0230,112,22,54,0.958
W003,P0047,363,40,167,0.955
W003,P0299,78,10,37,0.245
W003,P0113,257,41,118,0.761
W003,P0016,1565,305,673,0.416
W003,P0219,1314,141,361,1.259
W003,P0185,32,4,15,0.617
W003,P0269,1567,261,869,0.113
W003,P0180,1133,160,337,0.064
W003,P0058,343,66,142,0.374
W003,P0048,4584,768,1694,0.258
W003,P0264,81,11,40,0.951
W003,P0095,1511,219,802,0.242
W003,P0184,63,11,23,0.785
W003,P0041,4546,739,2382,0.077
W003,P0212,267,37,125,0.239
W003,P0257,377,57,145,0.88
W003,P0242,309,25,114,0.202
W003,P0086,920,122,338,0.875
W003,P0220,3889,627,2120,0.771
W003,P0216,315,52,138,0.763
W003,P0312,171,30,95,0.335
W003,P0044,183,17,83,0.183
W003,P0024,1864,286,873,0.677
W003,P0043,378,70,170,0.856
W003,P0009,1325,136,387,0.321
W003,P0196,1598,137,471,0.218
W003,P0296,1243,108,535,0.84
W003,P0120,1295,129,373,0.227
W003,P0103,414,69,215,0.517
W003,P0244,23,2,10,0.227
W003,P0085,3665,544,1905,0.296
W003,P0159,376,60,187,0.194
W003,P0217,1713,140,730,0.493
W003,P0270,1035,161,325,0.396
W003,P0150,2626,219,981,0.23
W003,P0134,260,30,98,0.243
W003,P0279,1672,265,584,0.268
W003,P0320,1311,148,583,0.758
W003,P0034,424,62,219,1.026
W003,P0234,1488,234,537,0.117
W003,P0167,782,87,234,1.062
W003,P0151,261,21,114,0.754
W003,P0284,987,101,320,0.75
W003,P0143,340,50,159,0.347
W003,P0071,681,72,191,0.583
W003,P0081,5833,483,1754,0.429
W003,P0168,4395,790,1711,0.794
W003,P0201,56,7,27,0.463
W003,P0083,1733,319,763,0.898
W003,P0057,682,69,194,0.096
W003,P0300,4546,511,2054,0.565
W003,P0286,953,178,519,0.849
W003,P0160,120,11,44,0.135
W003,P0174,39,7,22,0.144
W003,P0005,288,44,101,0.837
W003,P0161,3589,387,1314,0.765
W003,P0210,1630,227,827,0.775
W003,P0261,46,8,24,0.638
W003,P0077,1478,243,571,0.101
W003,P0025,337,38,159,0.643
W003,P0227,1939,184,812,0.104
W003,P0125,908,84,227,0.482
W003,P0237,66,6,30,0.723
W003,P0119,123,19,67,0.064
W003,P0267,1497,284,792,0.497
W003,P0070,542,46,246,0.116
W003,P0292,2241,317,1126,0.531
W003,P0111,288,46,153,0.099
W003,P0038,914,138,360,0.779
W003,P0172,664,83,327,0.584
W003,P0051,2858,551,1278,0.481
W003,P0053,1495,234,686,0.862
W003,P0059,1970,363,783,1.122
W003,P0247,193,32,74,0.513
W003,P0209,1960,343,974,1.105
W003,P0183,106,9,32,0.742
W003,P0013,1766,191,667,1.016
W003,P0205,228,42,130,0.065
W003,P0074,272,31,106,0.624
W003,P0240,1501,129,361,0.445
W003,P0315,1599,273,851,0.62
W003,P0164,278,27,100,0.829
W003,P0288,1189,117,552,0.57
W003,P0045,366,56,157,0.521
W003,P0182,891,159,432,0.792
W003,P0314,1377,142,374,0.162
W003,P0290,195,30,91,0.302
W003,P0147,71,11,22,0.478
W003,P0263,143,25,49,0.566
W003,P0129,763,111,280,0.326
W003,P0139,1488,266,530,1.165
W003,P0192,204,16,61,0.178
W003,P0248,266,39,110,0.979
W003,P0145,1190,198,442,0.29
W003,P0149,75,14,42,0.559
W003,P0011,308,53,130,0.5
W003,P0097,380,60,170,0.125
W003,P0028,1749,239,601,0.687
W003,P0091,299,47,137,0.428
W003,P0317,65,10,30,0.355
W003,P0316,1788,343,1027,0.575
W003,P0105,4408,483,1644,0.699
W003,P0046,267,23,100,0.884
W003,P0273,464,81,193,1.321
W003,P0019,322,50,138,0.734
W003,P0307,188,29,90,0.629
W003,P0061,212,34,102,0.298
W003,P0130,242,36,73,0.873
W003,P0131,1025,160,376,0.355
W004,P0213,666,115,331,0.244
W004,P0176,559,64,287,0.347
W004,P0218,8205,1614,3426,0.839
W004,P0048,4208,814,2198,0.702
W004,P0283,360,39,171,0.931
W004,P0192,555,78,200,0.877
W004,P0288,1816,282,921,0.508
W004,P0072,8215,1229,3865,0.598
W004,P0302,216,20,60,0.391
W004,P0195,4912,509,2066,0.993
W004,P0244,58,10,22,1.027
W004,P0251,558,45,222,0.784
W004,P0088,544,44,183,0.754
W004,P0254,1936,249,602,0.277
W004,P0274,2536,459,872,1.276
W004,P0127,1241,229,675,0.49
W004,P0154,375,45,103,0.629
W004,P0112,2423,288,1062,0.965
W004,P0207,2495,441,988,0.263
W004,P0024,1201,133,445,1.021
W004,P0049,1885,374,672,0.629
W004,P0292,1699,266,929,0.139
W004,P0102,6211,606,3035,0.096
W004,P0297,333,66,189,0.162
W004,P0098,4830,928,2449,0.475
W004,P0307,358,45,145,0.902
W004,P0303,8252,949,3036,0.684
W004,P0275,2779,291,1345,1.17
W004,P0175,2480,460,892,0.482
W004,P0014,285,29,86,0.55
W004,P0046,393,72,172,0.876
W004,P0039,772,125,253,0.74
W004,P0169,1360,196,616,0.373
W004,P0165,554,78,236,0.849
W004,P0002,2527,337,775,0.446
W004,P0114,668,70,270,0.332
W004,P0298,849,74,231,0.814
W004,P0246,1357,141,345,0.836
W004,P0104,1369,266,591,0.744
W004,P0053,6428,961,3185,0.739
W004,P0124,58,8,25,0.733
W004,P0066,1580,271,846,0.874
W004,P0025,389,68,208,1.373
W004,P0076,364,47,134,1.018
W004,P0252,340,37,148,0.297
W004,P0300,4375,854,1827,0.945
W004,P0204,801,64,327,0.999
W004,P0174,452,71,179,0.902
W004,P0126,380,48,113,0.879
W004,P0191,54,7,21,0.331
W004,P0171,2567,276,1080,0.143
W004,P0158,1964,273,947,1.05
W004,P0162,2780,349,1394,0.135
W004,P0061,218,27,112,0.503
W004,P0272,293,50,96,0.142
W004,P0150,3885,324,1822,0.981
W004,P0294,482,45,235,0.722
W004,P0001,961,178,494,0.949
W004,P0109,2700,327,766,0.841
W004,P0145,351,56,114,0.516
W004,P0064,551,68,197,0.289
W004,P0137,3325,483,1017,0.687
W004,P0036,6720,920,2843,0.663
W004,P0261,511,97,257,0.234
W004,P0306,582,78,204,0.113
W004,P0143,356,64,135,0.394
W004,P0290,186,21,88,0.095
W004,P0142,5328,429,1583,1.054
W004,P0080,644,99,223,1.136
W004,P0289,3958,584,1239,0.379
W004,P0193,2454,207,791,0.147
W004,P0068,1015,99,450,0.526
W004,P0027,535,82,201,1.16
W004,P0082,123,14,61,0.52
W004,P0263,95,15,49,0.509
W004,P0096,266,46,99,0.11
W004,P0006,4224,403,1481,0.09
W004,P0026,166,20,47,1.046
W004,P0045,45,4,12,0.25
W004,P0278,1136,223,587,0.652
W004,P0106,1470,219,487,0.221
W004,P0185,90,13,48,0.873
W004,P0177,444,74,166,0.364
W004,P0012,5424,981,3134,0.175
W004,P0057,1208,139,397,0.786
W004,P0227,2381,449,843,0.3
W004,P0186,471,54,161,0.363
W004,P0081,1611,148,431,0.436
W004,P0111,345,43,131,0.46
W004,P0078,2638,271,1162,0.336
W004,P0129,406,40,146,1.05
W004,P0223,1500,137,419,0.569
W004,P0077,2119,186,610,0.63
W004,P0279,1823,320,987,0.511
W004,P0159,379,52,126,0.521
W004,P0312,490,72,170,0.805
W004,P0079,8057,1603,4178,0.234
W004,P0258,1700,162,680,1.138
W004,P0051,4754,683,2427,0.456
W004,P0121,6245,554,2733,0.358
W004,P0044,90,8,22,0.636
W004,P0161,5136,444,2288,0.242
W004,P0016,2342,289,764,0.981
W004,P0211,7189,875,2698,0.533
W004,P0313,1884,192,491,1.37
W004,P0257,490,60,215,0.776
W004,P0149,300,54,124,1.048
W004,P0239,379,62,199,0.57
W004,P0284,1365,198,521,1.055
W004,P0019,50,6,20,0.883
W004,P0060,1455,259,664,0.922
W004,P0240,7615,1039,2403,0.575
W004,P0281,357,45,112,1.109
W004,P0118,4952,940,2575,1.369
W004,P0155,68,10,21,0.15
W004,P0032,2050,337,1071,0.776
W004,P0287,370,65,128,0.616
W004,P0232,824,89,284,0.454
W004,P0013,690,119,313,0.765
W004,P0004,1539,143,633,1.15
W004,P0194,2672,484,1015,0.192
W004,P0250,2702,448,876,0.097
W004,P0093,1429,118,358,0.355
W004,P0056,1782,243,733,0.545
W004,P0023,2152,285,1042,0.568
W004,P0147,225,44,114,0.2
W004,P0201,516,79,180,1.133
W004,P0089,1608,234,802,0.723
W004,P0188,2352,467,1374,0.177
W004,P0157,7664,956,2618,0.166
W004,P0262,6918,720,2918,0.644
W004,P0021,202,37,110,0.251
W004,P0069,89,14,35,0.489
W004,P0131,2705,295,966,0.638
W004,P0317,189,28,71,0.832
W004,P0216,476,85,184,0.294
W004,P0299,282,24,108,0.543
W004,P0070,1204,128,409,0.848
W004,P0160,168,27,89,0.391
W004,P0055,748,129,252,0.508
W004,P0318,201,20,82,0.757
W004,P0301,865,105,354,1.059
W004,P0152,7426,1204,3114,0.816
W004,P0043,1352,187,686,0.75
W004,P0116,847,117,423,0.278
W004,P0309,1959,350,846,0.668
W004,P0220,7132,807,2368,0.586
W004,P0242,358,54,179,0.45
W004,P0179,355,59,139,0.963
W004,P0108,274,23,87,0.616
W004,P0268,561,75,185,0.857
W004,P0156,6159,1045,3234,0.869
W004,P0235,204,20,83,0.869
W004,P0133,1610,185,535,1.127
W004,P0119,488,89,279,0.52
W004,P0273,1338,136,619,0.768
W004,P0296,564,98,227,0.653
W004,P0087,2519,220,851,0.826
W004,P0042,756,87,218,0.262
W004,P0197,371,73,204,0.208
W004,P0206,1103,119,421,0.974
W004,P0226,567,71,171,1.306
W004,P0249,885,174,506,1.145
W004,P0047,99,17,33,0.398
W004,P0041,3722,637,1347,0.681
W004,P0037,549,75,203,0.7
W004,P0202,1189,192,491,0.527
W004,P0228,1959,281,717,0.139
W004,P0241,497,80,160,0.905
W004,P0058,93,14,45,0.831
W004,P0083,2663,459,1211,0.745
W004,P0022,1664,224,527,1.249
W004,P0144,388,33,122,0.857
W004,P0208,847,78,405,0.753
W004,P0236,65,11,32,0.378
W004,P0256,7677,867,2672,0.759
W004,P0117,1210,199,634,0.807
W004,P0011,170,27,55,0.847
W004,P0139,1008,115,417,0.224
W004,P0184,543,73,210,0.503
W004,P0062,605,96,285,0.853
W004,P0237,482,87,184,0.553
W004,P0130,557,107,323,0.721
W004,P0151,477,85,176,0.104
W004,P0187,8213,750,2932,0.659
W004,P0141,4388,839,2309,0.311
W004,P0231,140,13,43,0.73
W004,P0271,1111,139,336,0.728
W004,P0090,2233,387,780,0.598
W004,P0260,996,138,360,1.066
W004,P0234,7580,1135,3104,1.1
W004,P0063,757,97,349,0.07
W004,P0308,994,127,331,0.773
W004,P0182,2588,222,1064,0.702
W004,P0034,1465,275,575,0.755
W004,P0115,2383,224,717,0.564
W004,P0222,2719,332,1221,0.667
W004,P0033,2604,431,860,0.353
W004,P0035,1057,128,398,1.003
W004,P0280,5377,687,1891,0.871
W004,P0017,1887,246,914,0.944
W004,P0172,2230,311,1052,0.705
W004,P0092,1187,121,383,0.716
W004,P0134,702,78,222,0.556
W004,P0269,1568,291,607,0.294
W004,P0113,463,49,183,0.271
W004,P0029,136,13,50,0.303
W004,P0320,1084,203,542,0.097
W004,P0168,5688,649,2433,0.459
